ep,step,score,aug_score,exploration_rate
0,82,-127.03833996509367,-847.999677739154,1.0
1,106,-374.9243987780537,-1672.9494724851586,0.7402609576967045
2,67,-36.198426597924254,-528.2365393265477,0.531750826943791
3,85,-239.2658697796962,-837.1065508650589,0.34901730169741024
4,83,-228.86584166694985,-1030.420421289993,0.231387331601191
5,72,-370.3359330542953,-976.3763938196572,0.16209824418995536
6,137,-200.53184605114447,-1612.0481333779567,0.08198177029173696
7,85,-270.5720717494741,-744.2996759188721,0.05380914294022049
8,97,-124.14410569443427,-1122.6875138722276,0.03325613897196732
9,64,-4.89451067092071,-438.27997338295114,0.024250791254731636
10,77,-141.68716411232697,-758.9062656754226,0.0165683801277891
11,89,-218.2930078858539,-1084.8019896576204,0.010658869760009713
12,111,-29.57779659853017,-910.9473788484291,0.01
13,82,-41.54704211033446,-615.6353478435007,0.01
14,78,-109.75236910247742,-842.5701645653834,0.01
15,80,-82.76353432815009,-670.655256216595,0.01
16,90,-163.22336145758646,-950.6553292282669,0.01
17,106,15.8028163634456,-690.8990398920856,0.01
18,118,-126.43005549124914,-934.8029623102345,0.01
19,104,-123.6555859146037,-844.1823755276719,0.01
20,93,-54.102535555694296,-843.2973336620213,0.01
21,95,-232.38701888273198,-1147.595465010094,0.01
22,64,-105.79995381254548,-667.2305470572765,0.01
23,262,-222.68016439532363,-1103.2433919040066,0.01
24,165,-15.8644572175629,-1086.4200874751498,0.01
25,90,-40.846946452522204,-790.45418174822,0.01
26,207,-14.622345947916443,-1070.663590346719,0.01
27,129,25.514127459123543,-754.7401548566039,0.01
28,343,-134.55535714163216,-1476.2889046144621,0.01
29,131,-8.466340850641316,-1052.3011920112863,0.01
30,136,-11.803966193841447,-1037.0975060890514,0.01
31,88,-27.193727551059908,-813.0836610701247,0.01
32,117,8.437932618925359,-889.455394370826,0.01
33,154,-39.88484934670919,-1087.2610783739947,0.01
34,120,-16.02028275547488,-907.157109358217,0.01
35,348,179.32185435563278,-544.6518298784459,0.01
36,124,17.676617728954653,-807.2614023136546,0.01
37,115,-109.21392774019967,-1185.0161122977408,0.01
38,109,-55.469477841626045,-781.6109431758475,0.01
39,102,-56.975443542231005,-786.0417749194836,0.01
40,85,-170.98050546146573,-1103.7809842476952,0.01
41,380,250.87949741197724,-492.24243280553287,0.01
42,123,54.254948412236246,-610.1523332282154,0.01
43,235,223.95683029488208,-376.35905232444253,0.01
44,136,-46.09454293210793,-1078.0222164600787,0.01
45,238,219.31691303226,-576.0317117969429,0.01
46,155,25.146344725313853,-677.2030200834473,0.01
47,130,-12.457344668041856,-907.8513623038858,0.01
48,92,-15.988413373965528,-677.2643692596141,0.01
49,427,193.75777542378825,-563.0739808057222,0.01
50,103,-265.6903098142414,-1327.960369064536,0.01
51,172,-238.9538520220762,-1091.8772356871134,0.01
52,279,217.47984043167122,-386.9322417284519,0.01
53,241,-211.11069207185602,-1013.3707498536792,0.01
54,246,183.17309420354889,-587.741294062842,0.01
55,119,-16.62498505064299,-1060.7303094232918,0.01
56,217,65.4200517614035,-784.7967827930454,0.01
57,184,-198.97576999005952,-1434.5737937058507,0.01
58,371,-16.56139362276012,-852.6293606645039,0.01
59,106,6.136337443744878,-981.8127131466509,0.01
60,110,-49.546201232282,-1050.7995191248328,0.01
61,98,-215.23835112702136,-1160.2655687452104,0.01
62,194,-82.26594602507942,-1428.8833694700638,0.01
63,60,-57.31600751026308,-516.157674140732,0.01
64,96,28.500728809438556,-572.1844850111045,0.01
65,84,14.48980060408671,-613.7201005918636,0.01
66,339,272.17473624870485,-228.0227153254628,0.01
67,169,275.68352397716217,-249.18357916922662,0.01
68,77,49.734243840467,-438.9743539615662,0.01
69,104,-6.177445067189495,-662.4343338367559,0.01
70,107,21.60441985437288,-975.8721070262632,0.01
71,237,309.38894594799274,-458.7575856757951,0.01
72,148,291.3162124101485,-198.21178126703546,0.01
73,210,271.32649712608145,-628.9610912750344,0.01
74,69,-55.50696191787924,-595.5413441866655,0.01
75,206,255.44617519435576,-497.6613023813484,0.01
76,95,22.94519482145104,-479.5429923854581,0.01
77,181,305.67498039801114,-280.74252808585334,0.01
78,66,-49.906514429198936,-558.5846900219934,0.01
79,91,47.08436058605972,-470.70614598570455,0.01
80,171,58.11129165804999,-992.7816429211191,0.01
81,204,235.72491760950805,-420.9488613328424,0.01
82,124,8.208819995727637,-855.6290692363632,0.01
83,427,284.22533322720346,-1023.1014524131194,0.01
84,250,-245.28090115414375,-825.0458172337284,0.01
85,316,239.17354204730572,-391.25061374068093,0.01
86,201,285.14239966268144,-279.6348024173226,0.01
87,187,278.0825355476375,-353.78916934811065,0.01
88,114,-6.130549512995813,-720.4190177109145,0.01
89,320,-434.326070529419,-1087.9416904829068,0.01
90,76,31.876685669223207,-469.1808074959121,0.01
91,275,-175.79779536388673,-825.8859215378269,0.01
92,154,287.7272772875109,-242.56605192623516,0.01
93,225,234.44886294423696,-484.40936427804365,0.01
94,362,-131.81930245919227,-866.4389957992915,0.01
95,528,277.2499382811926,-363.76778763542507,0.01
96,68,-48.25454659867549,-522.8565028274011,0.01
97,75,16.007229460296955,-450.3397949502002,0.01
98,372,140.93613500715662,-476.5875753990822,0.01
99,251,252.68060913584773,-455.5480103721975,0.01
100,308,270.2482400864369,-329.65928872494453,0.01
101,171,296.08699475291655,-213.64522180643394,0.01
102,148,32.757023697769654,-651.2905038133684,0.01
103,104,-35.717225519591636,-1013.1222470827632,0.01
104,351,-73.51344714997738,-2271.669452145084,0.01
105,223,194.0085252772587,-585.7465174844219,0.01
106,649,180.9902456272848,-582.0898055415138,0.01
107,430,-347.56491008111175,-1126.4734481905018,0.01
108,209,289.0623545478806,-356.4223913271205,0.01
109,462,-317.4406224153645,-1510.3180874437944,0.01
110,377,-113.98478515097605,-603.5336133895964,0.01
111,315,251.0681449017547,-1017.3321076039149,0.01
112,375,193.43484997017066,-939.5807492992483,0.01
113,252,183.92100154204968,-491.1661480598449,0.01
114,413,171.3085512954857,-555.9685562995143,0.01
115,289,274.7567489804536,-437.42771817078255,0.01
116,272,209.46538513088984,-1011.8717661729954,0.01
117,498,211.5526888659604,-1482.5495692202426,0.01
118,60,-127.17592447063396,-599.8012518416944,0.01
119,206,-154.43423297548404,-933.0673440324715,0.01
120,562,221.44925807753563,-615.0378372196631,0.01
121,130,-2.5581901408037737,-861.7981218527307,0.01
122,507,-168.0957978979914,-1412.6504474155129,0.01
123,145,-264.81693886941207,-1343.8145929460761,0.01
124,185,285.1965659488833,-235.7992437238663,0.01
125,239,237.7075383777308,-657.7162564861601,0.01
126,144,72.86786376470408,-635.5398121688547,0.01
127,414,258.8557039312931,-949.0549251842117,0.01
128,185,243.31269808908428,-543.8357505809664,0.01
129,296,164.44328599957097,-1102.4571285268914,0.01
130,82,-23.180367147369367,-698.9261042296941,0.01
131,111,-2.2711795414983413,-986.2117215470826,0.01
132,203,256.0328847832965,-535.4175570371914,0.01
133,79,-41.8391179314379,-675.7484421993165,0.01
134,385,169.20666737644177,-1395.7059524378337,0.01
135,136,-41.073205389146835,-771.7572310120507,0.01
136,134,27.45690040340665,-941.9289344707134,0.01
137,74,-63.49238069671062,-610.1006920816268,0.01
